Gender,Age,Waist,TotalHeight,source
1.0,3.0,22.0,20.0,Mendeley
1.0,3.0,22.0,24.0,Mendeley
2.0,1.0,12.0,25.0,Mendeley
2.0,3.0,23.0,19.0,Mendeley
2.0,4.0,21.0,27.0,Mendeley
1.0,5.0,16.0,43.0,Mendeley
2.0,6.0,19.0,51.0,Mendeley
2.0,7.0,20.0,56.0,Mendeley
1.0,8.0,21.0,61.0,Mendeley
1.0,9.0,23.0,61.0,Mendeley
2.0,10.0,27.0,71.0,Mendeley
1.0,11.0,24.0,72.0,Mendeley
2.0,12.0,24.0,71.0,Mendeley
2.0,13.0,24.0,73.0,Mendeley
1.0,15.0,24.0,78.0,Mendeley
1.0,17.0,27.0,79.0,Mendeley
2.0,17.0,28.0,79.0,Mendeley
1.0,18.0,27.0,80.0,Mendeley
2.0,18.0,27.0,82.0,Mendeley
1.0,20.0,28.0,82.0,Mendeley
2.0,20.0,27.0,87.0,Mendeley
1.0,21.0,28.0,85.0,Mendeley
2.0,21.0,31.0,86.0,Mendeley
1.0,21.0,32.0,89.0,Mendeley
1.0,1.0,12.0,20.0,Mendeley
2.0,1.0,13.0,21.0,Mendeley
1.0,1.0,13.0,22.0,Mendeley
1.0,1.0,14.0,23.0,Mendeley
2.0,1.0,14.0,24.0,Mendeley
2.0,5.0,16.0,43.0,Mendeley
1.0,5.0,16.0,44.0,Mendeley
1.0,5.0,18.0,45.0,Mendeley
1.0,10.0,26.0,51.0,Mendeley
2.0,10.0,27.0,52.0,Mendeley
2.0,10.0,26.0,52.0,Mendeley
1.0,9.0,23.0,53.0,Mendeley
1.0,11.0,20.0,54.0,Mendeley
2.0,11.0,23.0,55.0,Mendeley
1.0,11.0,26.0,56.0,Mendeley
1.0,12.0,25.0,57.0,Mendeley
1.0,12.0,25.0,59.0,Mendeley
2.0,12.0,25.0,59.0,Mendeley
1.0,13.0,25.0,62.0,Mendeley
1.0,14.0,25.0,63.0,Mendeley
2.0,19.0,26.0,65.0,Mendeley
1.0,17.0,26.0,56.0,Mendeley
1.0,19.0,28.0,68.0,Mendeley
